Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9801,0.9768,0.983
3,0.9322,0.9264,0.9375
4,0.8803,0.873,0.8872
5,0.8538,0.8459,0.8614
6,0.8208,0.8123,0.8291
7,0.7945,0.7855,0.8032
8,0.782,0.7728,0.7909
9,0.7744,0.7651,0.7834
10,0.7679,0.7585,0.777
11,0.7606,0.7511,0.7698
12,0.7527,0.7432,0.7621
13,0.7481,0.7385,0.7575
14,0.7371,0.7274,0.7467
15,0.6524,0.6419,0.6628
16,0.4275,0.4167,0.4384
17,0.3035,0.2935,0.3136
18,0.2304,0.2213,0.2397
19,0.1828,0.1745,0.1914
20,0.1519,0.1442,0.16
21,0.1247,0.1176,0.1321
22,0.1056,0.099,0.1125
23,0.0887,0.0827,0.0951
24,0.0728,0.0673,0.0787
25,0.0642,0.0591,0.0698
26,0.0551,0.0503,0.0603
27,0.0507,0.0461,0.0558
28,0.0477,0.0433,0.0526
29,0.0442,0.0399,0.049
30,0.0405,0.0364,0.045
