Day of isolation,Mean,Lower_CI,Upper_CI
0,12.074810172714107,8.990051999919269,17.208671862334903
1,11.548195354791396,8.461566972638042,16.689038560958416
2,7.991272976627228,5.229021597287643,13.306527323877612
3,5.113157160082312,2.490335503117972,10.184493026553765
4,2.957756961414097,0.7103897127455063,7.439521372647279
5,1.536294384302109,0.0,5.111296817556507
6,0.8052675558745154,0.0,3.2140850388221462
7,0.41026728365405046,0.0,1.7530098120350566
8,0.16517702228109646,0.0,0.7299261911180412
9,0.028400430798705557,0.0,0.1455079237524597
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
