Day of isolation,Mean,Lower_CI,Upper_CI
0,12.071835615705048,8.98187367950849,17.20397698164956
1,11.545220797782337,8.453388652227265,16.684343680273077
2,7.98829841961817,5.220843276876865,13.301832443192273
3,5.110182603073252,2.490335503119029,10.179798145868428
4,2.9544192474521846,0.7103897127466414,7.434212997549548
5,1.5339876772824461,0.0,5.106853976127207
6,0.8041473030307884,0.0,3.2105242932488576
7,0.4094389894653989,0.0,1.7503371495707754
8,0.16462462388680718,0.0,0.7281437922941398
9,0.028124183324269702,0.0,0.14461658013783918
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
