Day of isolation,Mean,Lower_CI,Upper_CI
0,9.72058541101127,1.2221300941245805,44.48805089541744
1,9.27717747856808,0.7553494352972621,43.999054782103
2,8.020914075445592,0.0,42.90458506331868
3,7.232158730512197,0.0,41.680833862238984
4,6.578822346592782,0.0,40.37923892905162
5,6.053873209262309,0.0,38.961940214904644
6,5.659658558717511,0.0,37.43495054704495
7,5.3703214190678885,0.0,35.80803098362395
8,5.075759451328725,0.0,34.09303388535929
9,4.777541248894193,0.0,32.3038367633906
10,4.477391761837887,0.0,30.456041579172446
11,4.1771341635628225,0.0,28.566431439632424
12,3.8786239878282887,0.0,26.652254843657502
13,3.5836813510131407,0.0,24.730464111038387
14,3.294031324233268,0.0,22.831937981949885
15,3.0112600334350557,0.0,20.957362956458724
16,2.736789220948838,0.0,19.11665374924333
17,2.471867571803078,0.0,17.320632849844564
18,2.2175747396507473,0.0,15.578470191923659
19,1.9748334662040876,0.0,13.897826738450776
20,1.7444259031546552,0.0,12.27450614383144
21,1.527011318537106,0.0,10.725029844755998
22,1.3231434231477572,0.0,9.255130594640635
23,1.1305274539353647,0.0,7.868222024471854
24,0.9487327307767021,0.0,6.567054948645754
25,0.7780723631055824,0.0,5.353841724670012
26,0.618808292943942,0.0,4.230359116022412
27,0.47115997878906074,0.0,3.19803264597555
28,0.3353116501176046,0.0,2.2580051838913304
29,0.21141833974537494,0.0,1.41119256167301
30,0.09961087508014897,0.0,0.6583283560377904
