Day of isolation,Mean,Lower_CI,Upper_CI
0,6.426941895180596,1.3026512285667364,12.240453702029516
1,5.956083822039884,0.8994125863437219,11.714890730106102
2,3.199274998191778,0.0,7.856815807286899
3,1.4847165535818194,0.0,4.756866952497599
4,0.5930192149226916,0.0,2.4206006669780296
5,0.2050891552524534,0.0,0.8489553745168256
6,0.010270247307958134,0.0,0.042080062141038065
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
