Day of isolation,Mean,Lower_CI,Upper_CI
0,8.853960396039604,0.0,30.0
1,7.893564356435643,0.0,29.0
2,7.143564356435643,0.0,28.0
3,6.643564356435643,0.0,27.0
4,6.143564356435643,0.0,26.0
5,5.643564356435643,0.0,25.0
6,5.143564356435643,0.0,24.0
7,4.665841584158416,0.0,23.0
8,4.188118811881188,0.0,22.0
9,3.73019801980198,0.0,21.0
10,3.381188118811881,0.0,20.0
11,3.128712871287129,0.0,19.0
12,2.9133663366336635,0.0,18.0
13,2.698019801980198,0.0,17.0
14,2.482673267326733,0.0,16.0
15,2.267326732673267,0.0,15.0
16,2.051980198019802,0.0,14.0
17,1.8366336633663367,0.0,13.0
18,1.6237623762376239,0.0,12.0
19,1.4133663366336633,0.0,11.0
20,1.2277227722772277,0.0,10.0
21,1.056930693069307,0.0,9.0
22,0.8935643564356436,0.0,8.0
23,0.7425742574257426,0.0,7.0
24,0.6113861386138614,0.0,6.0
25,0.4900990099009901,0.0,5.0
26,0.37376237623762376,0.0,4.0
27,0.2698019801980198,0.0,3.0
28,0.17574257425742573,0.0,2.0
29,0.08168316831683169,0.0,1.0
30,0.0,0.0,0.0
