Day of isolation,Mean,Lower_CI,Upper_CI
0,12.733606659833503,11.0,15.0
1,11.736794080147996,10.0,14.0
2,10.74057523561911,9.0,13.0
3,9.74551886202845,8.0,12.0
4,8.751106222344442,7.0,11.0
5,7.75723106922327,6.0,10.0
6,6.764218394540136,5.0,9.0
7,5.7725556861078475,4.0,8.0
8,4.781767955801105,3.0,7.0
9,3.791230219244519,2.0,6.0
10,2.801079973000675,1.0,5.0
11,1.8117734556636085,0.0,4.0
12,0.8452476188095298,0.0,3.0
13,0.2233881652958676,0.0,2.0
14,0.07986050348741282,0.0,1.0
15,0.050561235969100775,0.0,0.0
16,0.03827404314892128,0.0,0.0
17,0.02941801454963626,0.0,0.0
18,0.02261193470163246,0.0,0.0
19,0.017243318917027073,0.0,0.0
20,0.012780930476738082,0.0,0.0
21,0.009374765630859228,0.0,0.0
22,0.0068185795355116124,0.0,0.0
23,0.004812379690507737,0.0,0.0
24,0.0032561685957851055,0.0,0.0
25,0.0021124471888202797,0.0,0.0
26,0.0012812179695507612,0.0,0.0
27,0.0006749831254218645,0.0,0.0
28,0.00024374390640233994,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
