Epsilon,Median,Mean,Std Dev,25th Perc,75th Perc,2.5th Perc,97.5th Perc
0.3,-10.80,-10.82,7.90,-19.50,-6.00,-20.40,9.00
0.6,-10.60,-9.90,8.71,-19.30,-4.40,-20.30,9.00
0.9,-12.20,-11.50,7.29,-18.80,-7.00,-20.30,8.30
