Day of isolation,Mean,Lower_CI,Upper_CI
0,0.9884,0.9858,0.9905
1,0.9884,0.9858,0.9905
2,0.9884,0.9858,0.9905
3,0.9873,0.9846,0.9895
4,0.9849,0.982,0.9873
5,0.9794,0.976,0.9823
6,0.959,0.9545,0.9631
7,0.8761,0.8687,0.8831
8,0.249,0.2396,0.2586
9,0.1407,0.1332,0.1485
10,0.093,0.0868,0.0995
11,0.0578,0.0529,0.0632
12,0.0314,0.0278,0.0354
13,0.0186,0.0159,0.0218
14,0.0135,0.0112,0.0163
15,0.0117,0.0096,0.0143
16,0.0114,0.0093,0.0139
17,0.0101,0.0082,0.0126
18,0.0099,0.0079,0.0123
19,0.0099,0.0079,0.0123
20,0.0097,0.0078,0.0121
21,0.0096,0.0077,0.012
22,0.0089,0.007,0.0112
23,0.0084,0.0066,0.0106
24,0.0079,0.0062,0.0101
25,0.0071,0.0055,0.0092
26,0.0062,0.0047,0.0082
27,0.0059,0.0044,0.0078
28,0.005,0.0037,0.0068
29,0.0047,0.0035,0.0065
30,0.0047,0.0035,0.0065
