Day of isolation,Mean,Lower_CI,Upper_CI
0,0.9843,0.9813,0.9868
1,0.9843,0.9813,0.9868
2,0.5842,0.5734,0.595
3,0.4467,0.4358,0.4576
4,0.4103,0.3996,0.4211
5,0.3827,0.3721,0.3934
6,0.3549,0.3445,0.3655
7,0.295,0.2851,0.3051
8,0.2328,0.2236,0.2421
9,0.1599,0.1521,0.1681
10,0.1106,0.1039,0.1176
11,0.0761,0.0705,0.0821
12,0.0502,0.0457,0.0552
13,0.0314,0.0278,0.0354
14,0.0219,0.0189,0.0253
15,0.0199,0.017,0.0232
16,0.0179,0.0152,0.021
17,0.017,0.0144,0.0201
18,0.0155,0.013,0.0184
19,0.0147,0.0123,0.0176
20,0.013,0.0107,0.0157
21,0.0122,0.0101,0.0149
22,0.0114,0.0093,0.0139
23,0.0105,0.0085,0.013
24,0.01,0.008,0.0124
25,0.0092,0.0074,0.0116
26,0.0086,0.0068,0.0109
27,0.0079,0.0062,0.0101
28,0.0057,0.0043,0.0077
29,0.0052,0.0039,0.0071
30,0.005,0.0037,0.0068
