Day of isolation,Mean,Lower_CI,Upper_CI
0,0.9966,0.9951,0.9977
1,0.9966,0.9951,0.9977
2,0.9966,0.9951,0.9977
3,0.9955,0.9938,0.9967
4,0.9931,0.9911,0.9947
5,0.9876,0.985,0.9898
6,0.9673,0.9631,0.9709
7,0.8843,0.8771,0.8911
8,0.6401,0.6295,0.6505
9,0.2671,0.2575,0.2769
10,0.1349,0.1276,0.1426
11,0.0788,0.0731,0.0849
12,0.047,0.0426,0.0518
13,0.0304,0.0268,0.0343
14,0.0239,0.0207,0.0274
15,0.0215,0.0185,0.0249
16,0.0206,0.0177,0.024
17,0.0191,0.0163,0.0224
18,0.0181,0.0154,0.0213
19,0.0179,0.0152,0.021
20,0.0174,0.0147,0.0205
21,0.0172,0.0146,0.0203
22,0.0165,0.0139,0.0195
23,0.016,0.0135,0.019
24,0.0155,0.013,0.0184
25,0.0147,0.0123,0.0176
26,0.0136,0.0113,0.0164
27,0.0132,0.011,0.016
28,0.0124,0.0102,0.015
29,0.0121,0.0099,0.0148
30,0.006,0.0045,0.0079
