Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9197,1.0
1,1.0,0.9197,1.0
2,1.0,0.9197,1.0
3,0.75,0.6056,0.8543
4,0.75,0.6056,0.8543
5,0.5,0.3583,0.6417
6,0.2955,0.1816,0.4422
7,0.2955,0.1816,0.4422
8,0.2955,0.1816,0.4422
9,0.2727,0.1635,0.4185
10,0.25,0.1457,0.3944
11,0.25,0.1457,0.3944
12,0.25,0.1457,0.3944
13,0.25,0.1457,0.3944
14,0.25,0.1457,0.3944
15,0.25,0.1457,0.3944
16,0.25,0.1457,0.3944
17,0.25,0.1457,0.3944
18,0.1818,0.0951,0.3196
19,0.1818,0.0951,0.3196
20,0.0909,0.0359,0.2116
21,0.0909,0.0359,0.2116
22,0.0455,0.0126,0.1513
23,0.0455,0.0126,0.1513
24,0.0455,0.0126,0.1513
25,0.0455,0.0126,0.1513
26,0.0227,0.004,0.1181
27,0.0227,0.004,0.1181
28,0.0227,0.004,0.1181
29,0.0227,0.004,0.1181
30,0.0227,0.004,0.1181
