Epsilon,Median,Mean,Std Dev,25th Perc,75th Perc,2.5th Perc,97.5th Perc
0.3,-9.80,-10.59,7.60,-19.30,-6.10,-20.30,9.00
0.6,-10.30,-11.11,6.94,-19.40,-7.00,-20.40,4.10
0.9,-11.60,-11.21,7.22,-19.40,-6.00,-20.20,6.20
