Day of isolation,Mean,Lower_CI,Upper_CI
0,5.875511459074478,2.598362378746266,19.875359950056335
1,5.875511459074478,2.598362378746266,19.875359950056335
2,5.081685604914821,1.9779536011256909,18.124003283032366
3,3.895761186557621,1.3023446549468423,15.79826771708548
4,2.6597842345969145,0.6524403592263015,12.924824352123416
5,1.6371908330800409,0.2012625509764039,10.038244524744302
6,0.8942361107195556,0.0,7.304551733819119
7,0.3758425018314746,0.0,5.393031903657152
8,0.06545269994961611,0.0,3.8803788795960577
9,0.0,0.0,2.602778021718404
10,0.0,0.0,1.6023655773143326
11,0.0,0.0,0.8969950816842278
12,0.0,0.0,0.4149152039785182
13,0.0,0.0,0.1335283860115775
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
