Day of isolation,Mean,Lower_CI,Upper_CI
0,3.5594080201050264,1.3479227219733891,19.61804154351378
1,3.5594080201050264,1.3479227219733891,19.618041543513776
2,2.6904598299669695,0.9784713804272571,17.05229116782464
3,1.5824092864241628,0.46716121971153846,14.042997300622902
4,0.47689172933672097,0.0,11.356109517031557
5,0.0,0.0,8.741829988661415
6,0.0,0.0,6.510917252815147
7,0.0,0.0,4.602568061548739
8,0.0,0.0,3.142718403666586
9,0.0,0.0,2.043299547742195
10,0.0,0.0,1.08237968162444
11,0.0,0.0,0.5043800269722183
12,0.0,0.0,0.1412876950733315
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
