Day of isolation,Mean,Lower_CI,Upper_CI
0,5.449796673806049,0.0,11.293378123043492
1,5.449796673806049,0.0,11.293378123043492
2,4.086724096536857,0.0,10.294473608792321
3,2.874185543238093,0.0,9.056502475706964
4,1.9279514421061619,0.0,7.673146640403362
5,1.2841444229749264,0.0,6.251690433478013
6,0.9019762096471692,0.0,4.869847343555109
7,0.6551055614711226,0.0,3.59183662500231
8,0.4452908947621227,0.0,2.471078370383438
9,0.27311819980422675,0.0,1.5508167110502875
10,0.14224393643496536,0.0,0.8656532548632013
11,0.05495447172172684,0.0,0.37644599148393104
12,0.010449750102600307,0.0,0.11055534587899145
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
