Day of isolation,Mean,Lower_CI,Upper_CI
0,5.475337141216785,0.0,11.308152492216989
1,5.475337141216785,0.0,11.308152492216989
2,4.112264563947594,0.0,10.309247977965816
3,2.8997260106488296,0.0,9.07127684488046
4,1.952382286662175,0.0,7.689347339155762
5,1.2948880560264073,0.0,6.267947133992706
6,0.906950898484433,0.0,4.88524244316755
7,0.6594919640530158,0.0,3.6054443072586357
8,0.44896368244471835,0.0,2.4827784815807377
9,0.2759896511986384,0.0,1.5629683479473018
10,0.14425295381573625,0.0,0.8749380618378497
11,0.05611845386367651,0.0,0.38303383398067464
12,0.010814913712620212,0.0,0.11509947430324295
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
