Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,1.0,0.9995,1.0
3,1.0,0.9995,1.0
4,0.9899,0.9874,0.9918
5,0.9725,0.9687,0.9759
6,0.908,0.9015,0.9142
7,0.7344,0.7246,0.7439
8,0.6042,0.5934,0.6149
9,0.4981,0.4872,0.5091
10,0.4188,0.408,0.4296
11,0.3313,0.3211,0.3417
12,0.2496,0.2403,0.2592
13,0.1718,0.1637,0.1802
14,0.1177,0.1108,0.1249
15,0.0817,0.0759,0.0879
16,0.0561,0.0513,0.0614
17,0.0371,0.0332,0.0415
18,0.0292,0.0258,0.0332
19,0.0234,0.0203,0.0269
20,0.0184,0.0156,0.0215
21,0.0171,0.0145,0.0202
22,0.0154,0.0129,0.0183
23,0.0137,0.0114,0.0165
24,0.0124,0.0102,0.015
25,0.012,0.0098,0.0146
26,0.0112,0.0092,0.0138
27,0.011,0.0089,0.0135
28,0.0102,0.0083,0.0127
29,0.0096,0.0077,0.012
30,0.0087,0.0069,0.011
