Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9996,0.9989,0.9999
3,0.9898,0.9873,0.9917
4,0.9889,0.9863,0.991
5,0.988,0.9854,0.9902
6,0.9864,0.9836,0.9887
7,0.9785,0.9751,0.9815
8,0.9614,0.9569,0.9654
9,0.9335,0.9279,0.9388
10,0.8987,0.8919,0.9051
11,0.8388,0.8306,0.8467
12,0.7355,0.7257,0.7451
13,0.5706,0.5597,0.5814
14,0.3927,0.382,0.4034
15,0.2298,0.2207,0.2391
16,0.1594,0.1516,0.1676
17,0.08,0.0742,0.0861
18,0.0357,0.0319,0.04
19,0.0282,0.0248,0.0321
20,0.0231,0.02,0.0266
21,0.0182,0.0155,0.0214
22,0.0159,0.0134,0.0188
23,0.0151,0.0127,0.018
24,0.0132,0.011,0.016
25,0.0126,0.0104,0.0153
26,0.0119,0.0097,0.0145
27,0.0115,0.0094,0.0141
28,0.0112,0.0092,0.0138
29,0.0105,0.0085,0.013
30,0.0094,0.0075,0.0117
