Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,1.0,0.9995,1.0
3,1.0,0.9995,1.0
4,1.0,0.9995,1.0
5,0.9998,0.9991,0.9999
6,0.9951,0.9933,0.9964
7,0.9759,0.9723,0.979
8,0.9323,0.9266,0.9376
9,0.792,0.7829,0.8007
10,0.5897,0.5789,0.6004
11,0.3966,0.3859,0.4073
12,0.262,0.2525,0.2717
13,0.1737,0.1655,0.1821
14,0.1158,0.109,0.123
15,0.0835,0.0776,0.0897
16,0.058,0.0531,0.0633
17,0.0366,0.0327,0.0409
18,0.0277,0.0244,0.0316
19,0.0219,0.0189,0.0253
20,0.0185,0.0158,0.0217
21,0.015,0.0126,0.0179
22,0.0132,0.011,0.016
23,0.0129,0.0106,0.0156
24,0.0117,0.0096,0.0143
25,0.0115,0.0094,0.0141
26,0.011,0.0089,0.0135
27,0.0107,0.0087,0.0132
28,0.0102,0.0083,0.0127
29,0.0096,0.0077,0.012
30,0.0087,0.0069,0.011
