Epsilon,Median,Mean,Std Dev,25th Perc,75th Perc,2.5th Perc,97.5th Perc
0.0,-8.30,-7.80,1.50,-8.90,-6.60,-9.40,-4.60
0.2,-9.10,-8.41,2.03,-9.90,-6.90,-11.40,-4.30
0.4,-10.10,-9.47,2.56,-11.50,-7.30,-13.10,-4.50
0.6,-12.00,-11.01,3.43,-13.70,-8.27,-16.12,-4.60
0.8,-11.90,-11.37,3.65,-14.40,-8.80,-16.70,-4.70
1.0,-12.80,-12.83,2.88,-15.10,-10.70,-17.30,-6.60
