Day of isolation,Mean,Lower_CI,Upper_CI
0,10.545089603795411,3.9382635386541223,16.644905177467866
1,9.020149078701724,2.375961808893564,15.063764090120456
2,6.367058693175149,0.7611977329813714,11.689491947045072
3,4.278660761153815,0.0,8.715298370317365
4,2.7446228577820664,0.0,6.173000626520198
5,1.5702143394469372,0.0,4.06388050520491
6,0.7545057206786094,0.0,2.391168007707187
7,0.28182225412195466,0.0,1.1560424986021314
8,0.05858139052102438,0.0,0.35893419382263564
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
