Day of isolation,Mean,Lower_CI,Upper_CI
0,8.402753325043333,3.3970693195006767,17.61749167561709
1,6.926166727690597,1.8148884796901301,16.16858087451543
2,3.8061902292090553,0.11828401176941838,11.759210680386992
3,1.9713228775185565,0.0,7.967932097020013
4,1.1196863831814485,0.0,4.875351826449669
5,0.5491710466640625,0.0,2.496878436202503
6,0.16981510000056413,0.0,0.8374976400959416
7,0.002197513327962404,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
