Day of isolation,Mean,Lower_CI,Upper_CI
0,7.385237681886162,2.9159038702044127,17.60601402396533
1,5.930639342907086,1.4343933045349906,16.013994002861526
2,3.587158064261271,0.20462408738437596,12.5444169188192
3,2.063652740981235,0.0,9.287259568962764
4,1.1498896742608726,0.0,6.332348550461715
5,0.5505978032224067,0.0,3.722139477342094
6,0.18928678156557613,0.0,1.828000069719062
7,0.04821395009875019,0.0,0.5979120127827358
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
