Day of isolation,Mean,Lower_CI,Upper_CI
0,4.9656718646393045,2.6173692946315885,8.627588478844988
1,3.459028911583531,1.2007691899278106,7.0640764625986545
2,1.4531772055472296,0.0,3.962345117555224
3,0.59371602600091,0.0,1.7893387494195707
4,0.13140498945611723,0.0,0.7808816431164933
5,0.016883804659675598,0.0,0.1857218512564316
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
