Day of isolation,Mean,Lower_CI,Upper_CI
0,10.01137209868188,3.6706373540634543,16.386148080445686
1,8.486431573588193,2.108335624302896,14.805006993098276
2,5.83334118806162,0.5085983913546768,11.430734850022892
3,3.8678231863424104,0.0,8.52006564674882
4,2.4188597211596385,0.0,6.029613891916842
5,1.3503569927608323,0.0,3.9649643862857493
6,0.6566109024703275,0.0,2.3289067960188636
7,0.24712141934332632,0.0,1.1225036915583206
8,0.04899828156862718,0.0,0.34615216251520536
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
