Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,1.0,0.9906,1.0
2,1.0,0.9906,1.0
3,0.7426,0.6978,0.7828
4,0.5644,0.5156,0.6119
5,0.396,0.3495,0.4445
6,0.3713,0.3256,0.4194
7,0.3515,0.3065,0.3992
8,0.3465,0.3018,0.3942
9,0.3465,0.3018,0.3942
10,0.3366,0.2923,0.3841
11,0.3292,0.2852,0.3765
12,0.3045,0.2616,0.351
13,0.2847,0.2428,0.3305
14,0.2723,0.2312,0.3177
15,0.2599,0.2195,0.3048
16,0.245,0.2056,0.2893
17,0.2302,0.1918,0.2737
18,0.2054,0.1689,0.2475
19,0.1906,0.1553,0.2317
20,0.1559,0.1238,0.1945
21,0.1262,0.0973,0.1622
22,0.1213,0.093,0.1567
23,0.0965,0.0714,0.1292
24,0.0941,0.0693,0.1265
25,0.0916,0.0672,0.1237
26,0.0916,0.0672,0.1237
27,0.0866,0.063,0.1181
28,0.0817,0.0588,0.1125
29,0.0767,0.0546,0.1069
30,0.0743,0.0525,0.104
