Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9953,0.9935,0.9965
3,0.976,0.9724,0.9791
4,0.9299,0.9241,0.9353
5,0.8958,0.8889,0.9023
6,0.8756,0.8682,0.8826
7,0.8492,0.8412,0.8569
8,0.8113,0.8026,0.8198
9,0.7941,0.7851,0.8028
10,0.7882,0.7791,0.797
11,0.7821,0.7729,0.791
12,0.775,0.7657,0.784
13,0.7656,0.7562,0.7748
14,0.7606,0.7511,0.7698
15,0.7542,0.7447,0.7636
16,0.7494,0.7398,0.7587
17,0.7103,0.7002,0.7201
18,0.5279,0.5169,0.5388
19,0.3877,0.3771,0.3984
20,0.3062,0.2962,0.3164
21,0.2557,0.2463,0.2654
22,0.222,0.213,0.2313
23,0.1913,0.1828,0.2
24,0.1668,0.1588,0.1751
25,0.1418,0.1343,0.1496
26,0.1223,0.1153,0.1297
27,0.1074,0.1008,0.1144
28,0.0938,0.0876,0.1004
29,0.0811,0.0753,0.0873
30,0.0702,0.0648,0.076
