Day of isolation,Mean,Lower_CI,Upper_CI
0,11.126516480794491,4.200564141492091,19.516313242554663
1,9.65565840765378,2.7982438503103126,17.98797285139977
2,5.898849583805673,0.897018582608144,13.133272779340858
3,3.183472926174204,0.0,9.033279886192066
4,1.518872682669555,0.0,5.697011630409738
5,0.7574906087577807,0.0,3.125543720757774
6,0.31272033945494854,0.0,1.3188725655302003
7,0.06107252040549784,0.0,0.2770232230295806
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
