Day of isolation,Mean,Lower_CI,Upper_CI
0,21.599836462365857,2.467650009708283,47.95113455373212
1,20.204084021223846,1.040820920066297,46.55472961133042
2,17.07506420152942,0.0,43.65458338664316
3,14.362525648230651,0.0,40.597599300579944
4,11.902386450311052,0.0,37.459328681463276
5,9.891596112236176,0.0,34.3556865386215
6,8.299242156567676,0.0,31.675071600456288
7,7.077723358938249,0.0,29.438504642106686
8,6.0774594465621625,0.0,27.26706122713257
9,5.256709256316454,0.0,25.16222430033864
10,4.587946313163428,0.0,23.127240046381015
11,4.003386338612569,0.0,21.16557650904573
12,3.4636960119396067,0.0,19.280433286506224
13,2.966149395340378,0.0,17.47460292374621
14,2.5114218535915724,0.0,15.750458422367576
15,2.0999754080190516,0.0,14.10998628976708
16,1.7321316148504842,0.0,12.554834003847247
17,1.408118204177522,0.0,11.086359274373073
18,1.1280992033660704,0.0,9.705675989678191
19,0.8921946341176653,0.0,8.4136949693842
20,0.700493581373099,0.0,7.211159107506704
21,0.5530630049542506,0.0,6.09247301203125
22,0.4396032306390554,0.0,5.061644249641419
23,0.34578238334787614,0.0,4.123866195708141
24,0.26822437404987853,0.0,3.2794654367847578
25,0.20327321117101815,0.0,2.5287052509663965
26,0.14718115677838323,0.0,1.8717978182836328
27,0.09996187191314344,0.0,1.308914106341869
28,0.061626254847388325,0.0,0.8401918603535456
29,0.03218300457786898,0.0,0.4657420538777209
30,0.011639068792942277,0.0,0.18565409048145812
