Day of isolation,Mean,Lower_CI,Upper_CI
0,34.06257532776135,10.801921037348345,92.5903142384212
1,32.54137548372994,9.326938683429313,91.12314124138892
2,28.848088840754073,5.346875419290773,87.10289701920588
3,25.466414182182053,2.435247782402867,82.77859404621483
4,22.503814627561916,0.6515376983834984,78.3934301938545
5,20.000395371377223,0.0,74.06073019990528
6,17.911573588084593,0.0,69.81825013929408
7,16.043060163672155,0.0,65.67883336423817
8,14.396625262215956,0.0,61.64748292205083
9,12.973719918297052,0.0,57.72644206477169
10,11.72225633020441,0.0,53.916843824113165
11,10.578963769964098,0.0,50.21931745310471
12,9.532643716016509,0.0,46.63423932048066
13,8.574796780131305,0.0,43.16184783892245
14,7.689668279938996,0.0,39.80230085261508
15,6.884879364871967,0.0,36.55570916305599
16,6.1468920467736465,0.0,33.4221459774144
17,5.45601177368063,0.0,30.401665877542708
18,4.812142546804971,0.0,27.4943086552347
19,4.215234411175249,0.0,24.700103710093696
20,3.6623278056254276,0.0,22.019072902234484
21,3.150194608737205,0.0,19.45123265181777
22,2.674972715865644,0.0,16.996595334885242
23,2.235422592389609,0.0,14.655170343452715
24,1.8315462010193797,0.0,12.426964828879768
25,1.4633449464372648,0.0,10.311984223220481
26,1.130819834752403,0.0,8.310232691746775
27,0.8339715899966623,0.0,6.421713415681437
28,0.5728007340440666,0.0,4.646428839539209
29,0.3473076436145751,0.0,2.9843808399780243
30,0.15749259202853183,0.0,1.4355708589469747
