Day of isolation,Mean,Lower_CI,Upper_CI
0,32.52659145533131,9.481850666429516,92.59675115065664
1,31.005391611299896,8.014796732227971,91.12957815362438
2,27.312104968324032,4.26514465869951,87.1093339314413
3,23.93043030975201,1.4071720388444247,82.78503095845026
4,21.123056187003463,0.0,78.40028047984947
5,18.91459210105811,0.0,74.06763257579804
6,16.954676291521057,0.0,69.82505979677671
7,15.246342899218062,0.0,65.68548509621257
8,13.79021328886001,0.0,61.65394255441578
9,12.574730567375612,0.0,57.732689093368734
10,11.51164372515695,0.0,53.9228644337954
11,10.534766720950016,0.0,50.225101496990426
12,9.61035569627802,0.0,46.639778805141034
13,8.728344500964191,0.0,43.16713610500244
14,7.888861376721862,0.0,39.80733210440701
15,7.091994127070757,0.0,36.56047557190764
16,6.337803363954536,0.0,33.42664296453901
17,5.626331192721793,0.0,30.405889162979356
18,4.957607009360481,0.0,27.498254166445655
19,4.331651424051734,0.0,24.703767494945055
20,3.748478939095987,0.0,22.022451134957436
21,3.208099790607504,0.0,19.45432157892974
22,2.7105212265353655,0.0,16.99939133273339
23,2.2557483896313446,0.0,14.65766980027721
24,1.8424293228321469,0.0,12.429164157677342
25,1.4678295890363748,0.0,10.313879880243725
26,1.1319508233683957,0.0,8.31182114385513
27,0.8347942113239697,0.0,6.422991152897312
28,0.5734011670465228,0.0,4.647392365248055
29,0.3476808439002042,0.0,2.9850266665923906
30,0.1576335164681273,0.0,1.4358955065927002
