Day of isolation,Mean,Lower_CI,Upper_CI
0,11.098756012489902,4.200564141492091,19.516578503687196
1,9.627897939349191,2.7982438503103126,17.988238112532297
2,5.8710891155010865,0.897018582608144,13.133538040473388
3,3.155712457869617,0.0,9.033545147324595
4,1.518628732726063,0.0,5.6973460049767874
5,0.7575489778144692,0.0,3.1257948578322727
6,0.3127578441078574,0.0,1.3190401652095398
7,0.0610890499326431,0.0,0.27710710642069436
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
