Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,1.0,0.9906,1.0
2,0.8069,0.7656,0.8425
3,0.7475,0.703,0.7874
4,0.7005,0.6541,0.7431
5,0.646,0.5982,0.6911
6,0.6287,0.5806,0.6744
7,0.599,0.5505,0.6457
8,0.5322,0.4834,0.5803
9,0.5,0.4515,0.5485
10,0.4876,0.4392,0.5363
11,0.4431,0.3954,0.4918
12,0.4183,0.3712,0.467
13,0.3366,0.2923,0.3841
14,0.2871,0.2452,0.3331
15,0.2723,0.2312,0.3177
16,0.2079,0.1712,0.2502
17,0.1782,0.144,0.2185
18,0.1708,0.1372,0.2105
19,0.1683,0.135,0.2079
20,0.1485,0.1172,0.1865
21,0.1436,0.1127,0.1811
22,0.1238,0.0952,0.1595
23,0.1213,0.093,0.1567
24,0.1163,0.0886,0.1513
25,0.1163,0.0886,0.1513
26,0.0842,0.0608,0.1153
27,0.0842,0.0608,0.1153
28,0.0693,0.0484,0.0983
29,0.0668,0.0463,0.0955
30,0.0668,0.0463,0.0955
