Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,1.0,0.9995,1.0
3,1.0,0.9995,1.0
4,0.9996,0.9989,0.9999
5,0.9996,0.9989,0.9999
6,0.997,0.9955,0.998
7,0.9895,0.987,0.9915
8,0.9834,0.9803,0.986
9,0.9766,0.9731,0.9797
10,0.9623,0.9579,0.9662
11,0.9414,0.936,0.9463
12,0.9163,0.91,0.9222
13,0.8878,0.8807,0.8945
14,0.8491,0.8411,0.8568
15,0.7942,0.7852,0.8029
16,0.7313,0.7214,0.7409
17,0.6388,0.6282,0.6493
18,0.5465,0.5356,0.5574
19,0.4052,0.3945,0.416
20,0.296,0.2861,0.3061
21,0.2184,0.2095,0.2276
22,0.1564,0.1486,0.1645
23,0.1032,0.0967,0.1101
24,0.0553,0.0505,0.0606
25,0.0349,0.0311,0.0391
26,0.0272,0.0239,0.031
27,0.0237,0.0206,0.0273
28,0.0216,0.0187,0.025
29,0.0199,0.017,0.0232
30,0.0186,0.0159,0.0218
