Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,1.0,0.9906,1.0
2,0.8069,0.7656,0.8425
3,0.7475,0.703,0.7874
4,0.7005,0.6541,0.7431
5,0.646,0.5982,0.6911
6,0.6287,0.5806,0.6744
7,0.599,0.5505,0.6457
8,0.552,0.5032,0.5998
9,0.5149,0.4662,0.5632
10,0.5,0.4515,0.5485
11,0.4678,0.4197,0.5166
12,0.4257,0.3784,0.4744
13,0.3465,0.3018,0.3942
14,0.2896,0.2475,0.3357
15,0.2574,0.2172,0.3022
16,0.1782,0.144,0.2185
17,0.1683,0.135,0.2079
18,0.1584,0.1261,0.1972
19,0.1535,0.1216,0.1919
20,0.1436,0.1127,0.1811
21,0.1361,0.1061,0.173
22,0.1213,0.093,0.1567
23,0.1188,0.0908,0.154
24,0.1163,0.0886,0.1513
25,0.1015,0.0757,0.1348
26,0.0842,0.0608,0.1153
27,0.0718,0.0504,0.1012
28,0.0693,0.0484,0.0983
29,0.0668,0.0463,0.0955
30,0.0668,0.0463,0.0955
