Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9906,1.0
1,1.0,0.9906,1.0
2,0.7847,0.742,0.822
3,0.25,0.2103,0.2944
4,0.2475,0.208,0.2919
5,0.2302,0.1918,0.2737
6,0.1658,0.1328,0.2052
7,0.146,0.1149,0.1838
8,0.1089,0.0821,0.1431
9,0.1064,0.08,0.1403
10,0.1015,0.0757,0.1348
11,0.0916,0.0672,0.1237
12,0.0916,0.0672,0.1237
13,0.0916,0.0672,0.1237
14,0.0916,0.0672,0.1237
15,0.0842,0.0608,0.1153
16,0.0693,0.0484,0.0983
17,0.0668,0.0463,0.0955
18,0.0668,0.0463,0.0955
19,0.0668,0.0463,0.0955
20,0.0371,0.0226,0.0603
21,0.0322,0.0189,0.0543
22,0.0297,0.0171,0.0512
23,0.005,0.0014,0.0179
24,0.005,0.0014,0.0179
25,0.0,0.0,0.0094
26,0.0,0.0,0.0094
27,0.0,0.0,0.0094
28,0.0,0.0,0.0094
29,0.0,0.0,0.0094
30,0.0,0.0,0.0094
