Epsilon,Median,Mean,Std Dev,25th Perc,75th Perc,2.5th Perc,97.5th Perc
0.3,-9.90,-9.87,2.37,-11.40,-8.70,-13.60,-4.50
0.6,-11.30,-10.98,3.58,-13.50,-8.40,-16.90,-4.20
0.9,-13.70,-13.05,3.45,-15.70,-10.40,-18.30,-4.70
