Day of isolation,Mean,Lower_CI,Upper_CI
0,4.38688321784653,0.8301654382337209,12.975906884698357
1,4.38688321784653,0.8301654382337209,12.975906884698357
2,3.093425597284303,0.0,11.930825009727773
3,2.46178214777369,0.0,10.458558961897442
4,2.0468518897725314,0.0,8.741899171205397
5,1.622762144485434,0.0,6.992983987670815
6,1.2255086142061429,0.0,5.3540199678286005
7,0.8740181218109938,0.0,3.895692958822826
8,0.577789168805718,0.0,2.651904740103224
9,0.3410441023065789,0.0,1.6380090409106698
10,0.16612410165770786,0.0,0.8623405620685656
11,0.05426502380979447,0.0,0.3293448446077454
12,0.006131109598761771,0.0,0.04144971446634127
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
