Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0554241729153395,0.0,4.52096769237146
1,1.0554241729153395,0.0,4.52096769237146
2,0.5181916893284861,0.0,3.0513906083291342
3,0.26342190600348564,0.0,1.8037604983478728
4,0.09582277254133365,0.0,0.8552261764862266
5,0.020664472559092237,0.0,0.24775756803186955
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
