Day of isolation,Mean,Lower_CI,Upper_CI
0,1.063121537566071,0.0,4.521815925816654
1,1.063121537566071,0.0,4.521815925816654
2,0.5258890539792177,0.0,3.0522388417743276
3,0.26698760184194,0.0,1.795081491917892
4,0.09606874436763792,0.0,0.8401704734168431
5,0.0189689749134473,0.0,0.22996140029722234
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
