Day of isolation,Mean,Lower_CI,Upper_CI
0,4.336424876967313,0.0,11.101767517527353
1,4.336424876967313,0.0,11.101767517527353
2,2.697622815165781,0.0,8.689664720833704
3,1.5965061405328413,0.0,6.338015330518826
4,1.0117993036409483,0.0,4.296288053475217
5,0.599658339872095,0.0,2.6249869577035305
6,0.29308924880814585,0.0,1.3419708268318908
7,0.09074804433157295,0.0,0.4590992160347742
8,0.002091483092653057,0.0,0.015337542679455751
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
