Day of isolation,Mean,Lower_CI,Upper_CI
0,4.360306434713446,0.0,11.236174706790063
1,4.360306434713446,0.0,11.236174706790063
2,2.7215043729119133,0.0,8.824071910096414
3,1.6206162761794105,0.0,6.472780129722016
4,1.0360436157943413,0.0,4.431037345481066
5,0.623856411033059,0.0,2.7594902804709047
6,0.3171913373470684,0.0,1.4760501747375079
7,0.11340639233921675,0.0,0.5869821600682084
8,0.012985059308400921,0.0,0.09465656478866347
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
