Day of isolation,Mean,Lower_CI,Upper_CI
0,4.387489127306448,0.8301654382337209,12.975855594429913
1,4.387489127306448,0.8301654382337209,12.975855594429913
2,3.0940315067442214,0.0,11.930773719459328
3,2.4623880572336074,0.0,10.458507671628997
4,2.0474577992324487,0.0,8.741847880936952
5,1.6233680539453517,0.0,6.99293269740237
6,1.2261145236660604,0.0,5.353968677560156
7,0.8746240312709113,0.0,3.895641668554381
8,0.5781061109889956,0.0,2.651139586226358
9,0.3411251016550738,0.0,1.636679165658232
10,0.1660232962701186,0.0,0.8605913162656931
11,0.054036315267121715,0.0,0.32731767050810223
12,0.005827875180694003,0.0,0.039282995723359804
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
