Parameter,Median,2.5% CI,97.5% CI
alpha_f,7.394242671965156e-10,1.1961189883823716e-10,2.1356094076113442e-09
beta,9.257339358835016e-07,3.7485259302856103e-07,2.0184875836292847e-06
delta_f,2.1640307454412815,0.7342594050167519,3.5152792669996535
gamma,1586.6801095101305,374.1026762513913,3664.8514862938455
f2_0,0.9973249516995837,0.9916381879937844,0.9987638931073985
V_0,34100.28090046944,23899.490508907747,39259.39500673055
