Epsilon,Median,Mean,Std Dev,25th Perc,75th Perc,2.5th Perc,97.5th Perc
0.3,-9.30,-9.08,8.83,-18.70,-3.60,-20.40,9.00
0.6,-10.60,-9.79,7.68,-15.30,-4.50,-20.30,9.00
0.9,-11.90,-10.02,8.44,-18.80,-3.70,-20.40,9.00
