Day of isolation,Mean,Lower_CI,Upper_CI
0,0.8738,0.8378,0.9027
1,0.6708,0.6235,0.7148
2,0.3441,0.2994,0.3917
3,0.3144,0.271,0.3612
4,0.3094,0.2663,0.3561
5,0.3094,0.2663,0.3561
6,0.3045,0.2616,0.351
7,0.297,0.2546,0.3433
8,0.2673,0.2265,0.3125
9,0.2203,0.1826,0.2632
10,0.2054,0.1689,0.2475
11,0.1832,0.1485,0.2238
12,0.1683,0.135,0.2079
13,0.151,0.1194,0.1892
14,0.1188,0.0908,0.154
15,0.1139,0.0865,0.1485
16,0.099,0.0736,0.132
17,0.0866,0.063,0.1181
18,0.0842,0.0608,0.1153
19,0.0817,0.0588,0.1125
20,0.0743,0.0525,0.104
21,0.0743,0.0525,0.104
22,0.0743,0.0525,0.104
23,0.0743,0.0525,0.104
24,0.0693,0.0484,0.0983
25,0.0421,0.0264,0.0663
26,0.0396,0.0245,0.0634
27,0.0396,0.0245,0.0634
28,0.0396,0.0245,0.0634
29,0.0396,0.0245,0.0634
30,0.0396,0.0245,0.0634
