Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,0.9908,0.9884,0.9926
2,0.9262,0.9202,0.9317
3,0.8756,0.8682,0.8826
4,0.8382,0.83,0.8461
5,0.7937,0.7847,0.8025
6,0.7764,0.7671,0.7854
7,0.7695,0.7601,0.7786
8,0.76,0.7505,0.7692
9,0.7516,0.742,0.761
10,0.742,0.7323,0.7515
11,0.7324,0.7226,0.742
12,0.7115,0.7015,0.7213
13,0.5381,0.5272,0.549
14,0.2806,0.2709,0.2906
15,0.1805,0.1723,0.1891
16,0.1354,0.1281,0.1431
17,0.1017,0.0953,0.1085
18,0.0797,0.074,0.0858
19,0.0643,0.0592,0.0699
20,0.0533,0.0486,0.0585
21,0.0481,0.0436,0.053
22,0.0429,0.0386,0.0475
23,0.038,0.034,0.0424
24,0.0339,0.0301,0.038
25,0.0327,0.0291,0.0369
26,0.0314,0.0278,0.0354
27,0.0292,0.0258,0.0332
28,0.0245,0.0213,0.0281
29,0.023,0.0199,0.0265
30,0.0214,0.0184,0.0248
