Day of isolation,Mean,Lower_CI,Upper_CI
0,0.7995,0.7577,0.8356
1,0.745,0.7004,0.7851
2,0.495,0.4466,0.5436
3,0.4777,0.4295,0.5264
4,0.4777,0.4295,0.5264
5,0.4703,0.4221,0.519
6,0.4653,0.4173,0.5141
7,0.4257,0.3784,0.4744
8,0.2921,0.2499,0.3382
9,0.2153,0.178,0.258
10,0.2129,0.1758,0.2554
11,0.2129,0.1758,0.2554
12,0.2005,0.1644,0.2423
13,0.198,0.1621,0.2396
14,0.1733,0.1395,0.2132
15,0.1584,0.1261,0.1972
16,0.1485,0.1172,0.1865
17,0.1238,0.0952,0.1595
18,0.1064,0.08,0.1403
19,0.1015,0.0757,0.1348
20,0.0941,0.0693,0.1265
21,0.0891,0.0651,0.1209
22,0.0817,0.0588,0.1125
23,0.0668,0.0463,0.0955
24,0.0644,0.0443,0.0926
25,0.052,0.0342,0.0782
26,0.052,0.0342,0.0782
27,0.047,0.0303,0.0723
28,0.047,0.0303,0.0723
29,0.047,0.0303,0.0723
30,0.047,0.0303,0.0723
