Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,0.9908,0.9884,0.9926
2,0.9262,0.9202,0.9317
3,0.8759,0.8685,0.883
4,0.8383,0.8301,0.8462
5,0.7937,0.7847,0.8025
6,0.7735,0.7642,0.7825
7,0.766,0.7566,0.7751
8,0.7562,0.7467,0.7655
9,0.7449,0.7352,0.7543
10,0.7384,0.7286,0.7479
11,0.7308,0.7209,0.7404
12,0.7094,0.6993,0.7192
13,0.5346,0.5237,0.5455
14,0.2819,0.2721,0.2918
15,0.1813,0.173,0.1899
16,0.1374,0.1301,0.1451
17,0.1024,0.096,0.1093
18,0.0812,0.0754,0.0874
19,0.0653,0.0601,0.071
20,0.0543,0.0496,0.0595
21,0.0481,0.0436,0.053
22,0.0431,0.0389,0.0478
23,0.0386,0.0346,0.0431
24,0.0345,0.0307,0.0387
25,0.033,0.0293,0.0371
26,0.0312,0.0276,0.0353
27,0.0297,0.0262,0.0337
28,0.0245,0.0213,0.0281
29,0.023,0.0199,0.0265
30,0.0216,0.0187,0.025
