Day of isolation,Mean,Lower_CI,Upper_CI
0,7.226435760931409,4.781591898648878,11.310067381772868
1,6.807089777626527,4.297791804814995,10.826861949065142
2,4.264669042457219,2.0729144682682596,9.152468916868255
3,2.4413271577171836,0.6045342476586342,7.552976414308161
4,1.3661000674721775,0.0,6.062434314185033
5,0.8331348188416513,0.0,4.706660674765276
6,0.46573185813909146,0.0,3.5042261295552946
7,0.26169515272800353,0.0,2.468000539518293
8,0.15051377127079443,0.0,1.606679427594714
9,0.08245181891573697,0.0,0.9260391352909494
10,0.0409995503802246,0.0,0.4298741906089276
11,0.015513067718344719,0.0,0.1206591335009568
12,0.002863313518809701,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
