Day of isolation,Mean,Lower_CI,Upper_CI
0,3.662986488266331,0.7112797828200366,11.404836421441363
1,3.2083881492872575,0.2297692171506146,10.81281640033756
2,1.863473865857589,0.0,8.343239316295234
3,1.1378847309096285,0.0,6.086081966438798
4,0.7121718585428656,0.0,4.13117094793775
5,0.385935369066463,0.0,2.520961874818129
6,0.1572107458251535,0.0,1.2741527050361743
7,0.03625547565517358,0.0,0.42831772723415007
8,0.0011630571264673393,0.0,0.017058171188187643
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
