Day of isolation,Mean,Lower_CI,Upper_CI
0,12.03655978789551,1.0195890025172714,39.46317782928311
1,11.626178535698514,0.5484093765823013,38.987418040369775
2,9.730070071957353,0.0,37.04604502015
3,8.334102991793802,0.0,34.386446598298896
4,7.302577983740429,0.0,31.308209259157433
5,6.37603950106755,0.0,28.176198317732982
6,5.585903417043841,0.0,25.149801074973652
7,4.881938153408381,0.0,22.274730651791693
8,4.223502528367241,0.0,19.5654220579554
9,3.6122681203519615,0.0,17.027474345328816
10,3.049021520059441,0.0,14.663461314074372
11,2.534173336636749,0.0,12.474717971787697
12,2.0679529825802696,0.0,10.461996122318485
13,1.650494415911475,0.0,8.625743280069418
14,1.2818781467217288,0.0,6.966235832902763
15,0.9621534968907823,0.0,5.483648752883489
16,0.6913510696164088,0.0,4.1780946826551295
17,0.4694900282650665,0.0,3.049646887940053
18,0.2965824534016803,0.0,2.098353390338082
19,0.17263599804847207,0.0,1.324245803977469
20,0.097655528742918,0.0,0.727345011188886
21,0.04596120399059522,0.0,0.30766484539119077
22,0.014150758065099002,0.0,0.06521447992560958
23,0.002224907667436912,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
