Day of isolation,Mean,Lower_CI,Upper_CI
0,12.040626338570094,1.0195890025172714,39.46286544032251
1,11.630245086373101,0.5484093765823013,38.98710565140918
2,9.73413662263194,0.0,37.045732631189395
3,8.338169542468389,0.0,34.3861342093383
4,7.306644534404473,0.0,31.30789687019683
5,6.37771699402638,0.0,28.175853095719475
6,5.58581364634769,0.0,25.149469410862082
7,4.881874425141382,0.0,22.274470452572636
8,4.22345998924674,0.0,19.565219743921848
9,3.6122430971726533,0.0,17.02732067595219
10,3.0490109705565165,0.0,14.663349208762082
11,2.534174570593649,0.0,12.474641510156312
12,2.067963517414942,0.0,10.461950093024127
13,1.650511896839575,0.0,8.62572286629305
14,1.28190029391177,0.0,6.9662364806048105
15,0.9621780746213999,0.0,5.483666076525707
16,0.6913758718407231,0.0,4.178124358262756
17,0.46951287738033953,0.0,3.049684732093599
18,0.29660118052622547,0.0,2.098395230657556
19,0.17264844027042744,0.0,1.3242874916235605
20,0.09765952978505595,0.0,0.7273824276344065
21,0.04596440000919443,0.0,0.30769388563706723
22,0.014152705605260102,0.0,0.06523104563540816
23,0.00222516386207585,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
