Day of isolation,Mean,Lower_CI,Upper_CI
0,9.888738405721698,3.1091864299373655,27.011827749042368
1,9.414981507022809,2.555671909160199,26.670466227639054
2,7.121523886460583,0.7255064709264781,24.62538435266847
3,5.521890458703835,0.0,22.153118304838138
4,4.623097511652995,0.0,19.436458514146093
5,3.9296385696974743,0.0,16.68754333061151
6,3.2823850394181835,0.0,14.048579310769297
7,2.6810790904948103,0.0,11.59073378587615
8,2.134679050344261,0.0,9.346523415740563
9,1.6477529847085697,0.0,7.332184194751934
10,1.2226468089829465,0.0,5.556060936429184
11,0.8605988132889035,0.0,4.022604386566059
12,0.562274504682117,0.0,2.73424507545937
13,0.328035559900444,0.0,1.6923293321667225
14,0.15807986687124298,0.0,0.8976091299889974
15,0.05251615015321383,0.0,0.35050646704719046
16,0.007441201465138239,0.0,0.0512588117399595
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
