Parameter,Median,2.5% CI,97.5% CI
alpha_f,1.5121968313805644e-09,7.706543170777406e-10,2.69206798818636e-09
beta,1.0636686881448176e-06,4.3703426751583016e-07,2.1446780067122916e-06
delta_f,1.7008126552809728,1.0753950446046323,2.8690866472996523
gamma,2552.6785797515113,1406.055784771132,3734.484799496371
f2_0,0.9949279685555855,0.9893452513959093,0.997658349862849
V_0,30373.942133070705,22245.469457985684,38269.89547646132
