Parameter,Median,2.5% CI,97.5% CI
alpha_f,1.807812466538904e-09,8.252797703202392e-10,3.3100393937221786e-09
beta,1.266312635291282e-06,5.103768672197857e-07,2.4712735137415993e-06
delta_f,1.5611525942099485,0.9012249829189386,2.843204567277304
gamma,2525.385756708404,1645.5106664563875,3726.5574713581427
