Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,1.0
8,0.0,0.0,2.0
9,0.0,0.0,3.0
10,1.0,0.0,4.0
11,2.0,0.0,5.0
12,3.0,1.0,6.0
13,4.0,2.0,7.0
14,5.0,3.0,8.0
15,6.0,4.0,9.0
16,7.0,5.0,10.0
17,8.0,6.0,11.0
18,9.0,7.0,12.0
19,10.0,8.0,13.0
20,11.0,9.0,14.0
21,12.0,10.0,15.0
22,13.0,11.0,16.0
23,14.0,12.0,17.0
24,15.0,13.0,18.0
25,16.0,14.0,19.0
26,17.0,15.0,20.0
27,18.0,16.0,21.0
28,19.0,17.0,22.0
29,20.0,18.0,23.0
30,21.0,19.0,24.0
